drug1_id,drug2_id,label
DB12417,DB09043,1
DB13377,DB05687,1
DB04552,DB06230,1
DB06695,DB01249,1
DB15685,DB04840,1
DB13432,DB00723,1
DB00340,DB01242,1
DB05562,DB00945,1
DB13733,DB00470,1
DB08912,DB00324,1
DB14513,DB03615,1
DB01342,DB00393,1
DB13722,DB09251,1
DB05687,DB13948,1
DB08992,DB00701,1
DB11828,DB00745,1
DB01256,DB01015,1
DB06210,DB08931,1
DB00875,DB13507,1
DB00537,DB01252,1
DB06796,DB08991,1
DB06335,DB01283,1
DB09256,DB00743,1
DB06650,DB16648,1
DB01483,DB02959,1
DB00977,DB06717,1
DB06772,DB00759,1
DB12093,DB01440,1
DB00574,DB13993,1
DB05254,DB04743,1
DB05229,DB00398,1
DB00752,DB09080,1
DB02852,DB00750,1
DB13036,DB00586,1
DB12545,DB00802,1
DB05084,DB13624,1
DB00289,DB00188,1
DB00256,DB14533,1
DB00086,DB00849,1
DB00188,DB01207,1
DB13314,DB15959,1
DB06696,DB01205,1
DB05607,DB04872,1
DB00995,DB00934,1
DB05006,DB12331,1
DB13662,DB06678,1
DB09243,DB13457,1
DB06343,DB01382,1
DB01165,DB09288,1
DB08894,DB09035,1
DB13537,DB07637,1
DB11619,DB00006,1
DB06468,DB13791,1
DB13386,DB05006,1
DB01626,DB13124,1
DB13491,DB12214,1
DB09239,DB00528,1
DB00812,DB00501,1
DB00598,DB00396,1
DB01625,DB13542,1
DB13692,DB00601,1
DB00330,DB01192,1
DB12086,DB00680,1
DB01086,DB09047,1
DB00424,DB13787,1
DB09250,DB09001,1
DB00651,DB01558,1
DB00988,DB00186,1
DB01323,DB00762,1
DB00589,DB01624,1
DB00721,DB01073,1
DB12010,DB01067,1
DB00733,DB04948,1
DB01541,DB01234,1
DB13322,DB01378,1
DB01077,DB04828,1
DB13946,DB00800,1
DB13948,DB00669,1
DB01121,DB13369,1
DB14507,DB00593,1
DB08934,DB09205,1
DB00234,DB00334,1
DB15861,DB01600,1
DB00413,DB00975,1
DB14007,DB00196,1
DB09570,DB09320,1
DB08953,DB00353,1
DB14506,DB01576,1
DB00860,DB01248,1
DB01012,DB05708,1
DB01614,DB12131,1
DB13283,DB04876,1
DB00379,DB13449,1
DB00306,DB05246,1
DB13803,DB00432,1
DB00294,DB13266,1
DB13504,DB09496,1
DB01115,DB01414,1
DB01548,DB13605,1
DB00910,DB01436,1
DB00500,DB13772,1
DB00364,DB15593,1
DB12007,DB12766,1
DB00303,DB11358,1
DB01170,DB00519,1
DB01155,DB14488,1
DB13269,DB04570,1
DB00232,DB09218,1
DB10990,DB09053,1
DB00994,DB00468,1
DB01065,DB06753,1
DB00391,DB14672,1
DB00051,DB01591,1
DB08883,DB01036,1
DB16732,DB00220,1
DB06237,DB04846,1
DB00726,DB06240,1
DB13538,DB01432,1
DB09480,DB06268,1
DB11362,DB00952,1
DB09477,DB01157,1
DB02959,DB01219,1
DB01254,DB06543,1
DB05767,DB01590,1
DB09472,DB00384,1
DB01509,DB00494,1
DB00692,DB00923,1
DB11079,DB00469,1
DB01356,DB09218,1
DB14542,DB09297,1
DB00181,DB04871,1
DB01143,DB00177,1
DB06470,DB01030,1
DB01418,DB00741,1
DB00980,DB00754,1
DB00605,DB00548,1
DB12406,DB00682,1
DB14635,DB00783,1
DB09245,DB00433,1
DB09234,DB01164,1
DB00294,DB11090,1
DB00979,DB00565,1
DB01129,DB01233,1
DB11642,DB00402,1
DB11608,DB15076,1
DB11730,DB14652,1
DB01171,DB04948,1
DB09555,DB00342,1
DB05875,DB12482,1
DB04894,DB06595,1
DB00696,DB16236,1
DB01132,DB09252,1
DB05687,DB00206,1
DB06695,DB00225,1
DB01401,DB00542,1
DB01424,DB08846,1
DB11972,DB13578,1
DB13823,DB01628,1
DB13448,DB01080,1
DB03585,DB09220,1
DB13581,DB08890,1
DB09241,DB00243,1
DB01030,DB06774,1
DB09273,DB09248,1
DB01328,DB01274,1
DB01148,DB11455,1
DB05459,DB00028,1
DB09303,DB12296,1
DB05676,DB10583,1
DB00216,DB00212,1
DB08794,DB00422,1
DB12941,DB01323,1
DB12846,DB13678,1
DB00254,DB01328,1
DB00962,DB15203,1
DB00505,DB13577,1
DB12849,DB06305,1
DB00384,DB11817,1
DB00081,DB12831,1
DB00198,DB06154,1
DB09065,DB00663,1
DB11189,DB04841,1
DB01176,DB06803,1
DB01511,DB13528,1
DB09258,DB13233,1
DB13581,DB01531,1
DB00547,DB06266,1
DB13781,DB00723,1
DB11850,DB12102,1
DB09061,DB01591,1
DB06643,DB01177,1
DB06770,DB06290,1
DB14185,DB08861,1
DB11830,DB01195,1
DB09061,DB13642,1
DB11785,DB04908,1
DB01226,DB01069,1
DB00486,DB12958,1
DB01595,DB00247,1
DB00773,DB13573,1
DB00743,DB00622,1
DB01954,DB01489,1
DB00622,DB09054,1
DB08892,DB01105,1
DB09276,DB00014,1
DB01484,DB11755,1
DB00402,DB00810,1
DB13657,DB08872,1
DB14500,DB00608,1
DB05077,DB00837,1
DB01200,DB00370,1
DB00012,DB00552,1
DB06237,DB00814,1
DB00907,DB11903,1
DB06684,DB11642,1
DB11520,DB08934,1
DB00880,DB09156,1
DB00668,DB01075,1
DB06603,DB09071,1
DB01198,DB09199,1
DB15171,DB01581,1
DB00105,DB15880,1
DB13505,DB00989,1
DB09186,DB08960,1
DB13873,DB06693,1
DB11730,DB13953,1
DB01050,DB00063,1
DB09480,DB13544,1
DB06372,DB01228,1
DB00414,DB08942,1
DB01241,DB13884,1
DB04908,DB01030,1
DB15118,DB12023,1
DB06287,DB01079,1
DB01410,DB00294,1
DB00532,DB13070,1
DB04017,DB00392,1
DB06480,DB00903,1
DB06148,DB00418,1
DB00570,DB00851,1
DB13114,DB12492,1
DB09072,DB01171,1
DB13993,DB13619,1
DB00418,DB04844,1
DB00529,DB09215,1
DB13503,DB00483,1
DB11455,DB00945,1
DB13470,DB01327,1
DB00527,DB12604,1
DB13624,DB08897,1
DB13956,DB15559,1
DB01239,DB11408,1
DB13273,DB00986,1
DB06823,DB13314,1
DB01347,DB01242,1
DB12332,DB01609,1
DB06809,DB08797,1
DB13523,DB13759,1
DB09048,DB00394,1
DB06159,DB09085,1
DB13823,DB11892,1
DB01435,DB14026,1
DB04599,DB11903,1
DB11560,DB09063,1
DB09194,DB12526,1
DB00327,DB13850,1
DB14449,DB00120,1
DB09299,DB00692,1
DB13354,DB00387,1
DB13910,DB00454,1
DB14513,DB00072,1
DB13873,DB00292,1
DB08811,DB09185,1
DB01424,DB00540,1
DB11057,DB00342,1
DB03604,DB15685,1
DB01037,DB05710,1
DB00367,DB06267,1
DB01394,DB09297,1
DB00668,DB01189,1
DB12649,DB04818,1
DB09255,DB11145,1
DB12532,DB00853,1
DB06594,DB11672,1
DB04932,DB09222,1
DB12610,DB12278,1
DB00882,DB00196,1
DB06512,DB13857,1
DB08899,DB00479,1
DB14516,DB01531,1
DB06643,DB09029,1
DB00511,DB00528,1
DB01278,DB13380,1
DB01257,DB14042,1
DB14033,DB01589,1
DB00028,DB11976,1
DB12427,DB00996,1
DB01247,DB04833,1
DB01129,DB00252,1
DB12877,DB01155,1
DB00339,DB06725,1
DB08826,DB11164,1
DB11633,DB00433,1
DB08735,DB09307,1
DB06207,DB12141,1
DB01162,DB04581,1
DB01083,DB06512,1
DB12092,DB12465,1
DB14488,DB14517,1
DB00959,DB12386,1
DB14064,DB06480,1
DB01186,DB00871,1
DB00942,DB00327,1
DB14498,DB00657,1
DB11608,DB13140,1
DB00773,DB08813,1
DB09084,DB00689,1
DB09049,DB00327,1
DB00017,DB02058,1
DB10989,DB13867,1
DB00468,DB01053,1
DB13324,DB12086,1
DB00367,DB01045,1
DB13666,DB01403,1
DB00842,DB03450,1
DB05488,DB12445,1
DB11774,DB04695,1
DB15428,DB12189,1
DB00401,DB13756,1
DB00987,DB00721,1
DB01107,DB04819,1
DB09167,DB15263,1
DB08940,DB09258,1
DB00334,DB01325,1
DB01171,DB00588,1
DB01226,DB05386,1
DB12054,DB08822,1
DB04824,DB00704,1
DB13766,DB01069,1
DB11892,DB00710,1
DB00312,DB04831,1
DB09071,DB06710,1
DB00938,DB00704,1
DB00828,DB01137,1
DB01408,DB00463,1
DB11323,DB13074,1
DB13823,DB01065,1
DB01171,DB00383,1
DB12584,DB12849,1
DB13691,DB00136,1
DB00682,DB12532,1
DB04574,DB01149,1
DB00577,DB10343,1
DB00465,DB11963,1
DB00470,DB13703,1
DB01239,DB00944,1
DB00476,DB14029,1
DB06800,DB08894,1
DB04076,DB05039,1
DB12265,DB01228,1
DB08893,DB01238,1
DB00203,DB01149,1
DB00208,DB01218,1
DB11201,DB04925,1
DB05667,DB00829,1
DB09338,DB06813,1
DB09351,DB01197,1
DB09184,DB12071,1
DB00532,DB04599,1
DB09071,DB13821,1
DB00568,DB09240,1
DB01409,DB09000,1
DB01586,DB09078,1
DB12089,DB00655,1
DB06702,DB09065,1
DB13737,DB01114,1
DB01628,DB11135,1
DB01066,DB00736,1
DB01399,DB08951,1
DB09227,DB11614,1
DB01275,DB01421,1
DB14540,DB10769,1
DB13274,DB14443,1
DB13590,DB01078,1
DB00273,DB01199,1
DB06637,DB00552,1
DB05109,DB06616,1
DB09227,DB00457,1
DB01415,DB15880,1
DB09279,DB00317,1
DB07715,DB14232,1
DB00975,DB16098,1
DB06712,DB14063,1
DB12193,DB00842,1
DB01096,DB00496,1
DB01253,DB02234,1
DB06694,DB12073,1
DB00294,DB11921,1
DB01158,DB01165,1
DB16650,DB06273,1
DB12498,DB11580,1
DB13478,DB01255,1
DB00557,DB00909,1
DB00887,DB00007,1
DB01544,DB14018,1
DB00440,DB00292,1
DB00584,DB13873,1
DB13437,DB00502,1
DB01577,DB09128,1
DB08895,DB06636,1
DB09213,DB12070,1
DB01594,DB13844,1
DB13678,DB00831,1
DB01604,DB00892,1
DB02925,DB00728,1
DB01378,DB13500,1
DB14060,DB01275,1
DB00501,DB14513,1
DB13857,DB00705,1
DB00804,DB09226,1
DB00567,DB09062,1
DB12289,DB13638,1
DB04630,DB06712,1
DB01309,DB01420,1
DB00387,DB13414,1
DB00472,DB14715,1
DB00446,DB08059,1
DB05562,DB13919,1
DB13675,DB14064,1
DB09342,DB04901,1
DB01577,DB13221,1
DB00783,DB00400,1
DB00912,DB01395,1
DB09259,DB00614,1
DB11921,DB05830,1
DB06209,DB11995,1
DB08873,DB00247,1
DB04948,DB13385,1
DB01121,DB00420,1
DB06404,DB00378,1
DB01211,DB01113,1
DB00363,DB13522,1
DB11640,DB00780,1
DB04844,DB01238,1
DB00579,DB09117,1
DB00915,DB00852,1
DB12849,DB05276,1
DB12142,DB12487,1
DB11921,DB15434,1
DB13987,DB00558,1
DB00297,DB13720,1
DB09312,DB06360,1
DB12034,DB11914,1
DB12261,DB15253,1
DB09331,DB00108,1
DB13185,DB01139,1
DB08550,DB00850,1
DB00765,DB00273,1
DB05351,DB00983,1
DB13634,DB00697,1
DB04946,DB00745,1
DB13606,DB01173,1
DB11691,DB01275,1
DB05916,DB06081,1
DB00366,DB13457,1
DB11124,DB13223,1
DB00562,DB00354,1
DB09290,DB13352,1
DB06283,DB05034,1
DB00685,DB00424,1
DB11364,DB04890,1
DB01288,DB09217,1
DB00407,DB00945,1
DB13805,DB04599,1
DB06800,DB05095,1
DB06480,DB01079,1
DB01095,DB00674,1
DB06788,DB09201,1
DB13636,DB14719,1
DB00953,DB01246,1
DB00417,DB00814,1
DB11672,DB00518,1
DB01228,DB00333,1
DB13025,DB00441,1
DB06738,DB00657,1
DB00051,DB12202,1
DB00201,DB13804,1
DB00056,DB14539,1
DB12989,DB13754,1
DB00377,DB13648,1
DB00887,DB00501,1
DB14035,DB04818,1
DB09257,DB11989,1
DB00564,DB09068,1
DB09357,DB00369,1
DB00176,DB01177,1
DB01306,DB13782,1
DB11582,DB01017,1
DB16695,DB12917,1
DB00371,DB00776,1
DB09021,DB08815,1
DB01388,DB11640,1
DB00991,DB00876,1
DB11714,DB06081,1
DB13850,DB01154,1
DB13919,DB00555,1
DB00098,DB00445,1
DB00365,DB00900,1
DB09217,DB09276,1
DB06273,DB06726,1
DB12093,DB11408,1
DB14546,DB00934,1
DB00013,DB04017,1
DB06737,DB14713,1
DB00713,DB03255,1
DB04695,DB00834,1
DB08329,DB00404,1
DB00562,DB00588,1
DB11850,DB11771,1
DB08814,DB06713,1
DB00697,DB01323,1
DB06761,DB09089,1
DB06168,DB14952,1
DB00198,DB01140,1
DB01059,DB14643,1
DB11228,DB15465,1
DB06127,DB09240,1
DB00208,DB13657,1
DB00078,DB15118,1
DB09009,DB02424,1
DB01161,DB12492,1
DB16736,DB16703,1
DB13374,DB00886,1
DB01232,DB09570,1
DB01624,DB00526,1
DB09201,DB09235,1
DB00420,DB04885,1
DB13491,DB13958,1
DB16151,DB08904,1
DB09080,DB00804,1
DB09280,DB00822,1
DB13481,DB09026,1
DB01140,DB01359,1
DB13261,DB11110,1
DB04908,DB01168,1
DB00347,DB12026,1
DB08822,DB00918,1
DB06077,DB12273,1
DB09048,DB06282,1
DB00515,DB11145,1
DB01382,DB01009,1
DB09255,DB00841,1
DB12799,DB01261,1
DB11921,DB08953,1
DB11555,DB13799,1
DB00585,DB00547,1
DB13544,DB06196,1
DB00902,DB01174,1
DB01309,DB15775,1
DB00505,DB08883,1
DB12313,DB08807,1
DB00771,DB00714,1
DB04829,DB09048,1
DB00706,DB01403,1
DB14997,DB07931,1
DB02959,DB12867,1
DB07767,DB01240,1
DB15595,DB13856,1
DB12265,DB11672,1
DB00398,DB00875,1
DB00851,DB00319,1
DB14006,DB13667,1
DB09134,DB01129,1
DB00175,DB00770,1
DB04325,DB09252,1
DB08881,DB11703,1
DB09305,DB04017,1
DB14585,DB09239,1
DB11124,DB00368,1
DB06212,DB01577,1
DB00866,DB08844,1
DB00359,DB12107,1
DB08882,DB00408,1
DB01236,DB13252,1
DB01030,DB06736,1
DB01030,DB00794,1
DB00822,DB11779,1
DB06448,DB00294,1
DB01472,DB08997,1
DB08882,DB08162,1
DB00502,DB01111,1
DB00480,DB00059,1
DB13653,DB08162,1
DB09273,DB00540,1
DB00710,DB01036,1
DB13347,DB16007,1
DB01009,DB00935,1
DB06819,DB13757,1
DB04356,DB11753,1
DB11121,DB00887,1
DB13544,DB01074,1
DB01577,DB01235,1
DB09107,DB13543,1
DB09256,DB15444,1
DB01140,DB00524,1
DB06731,DB08801,1
DB09247,DB13362,1
DB06148,DB11455,1
DB04682,DB15880,1
DB10794,DB09054,1
DB06684,DB00524,1
DB00823,DB07767,1
DB00293,DB12465,1
DB04573,DB12118,1
DB00237,DB00579,1
DB00321,DB06789,1
DB00197,DB01261,1
DB00245,DB09187,1
DB07767,DB00762,1
DB14652,DB08865,1
DB15274,DB08871,1
DB11156,DB00554,1
DB01093,DB00017,1
DB01483,DB00505,1
DB01577,DB01249,1
DB08957,DB00420,1
DB06212,DB13766,1
DB01403,DB13362,1
DB00788,DB11124,1
DB01136,DB04076,1
DB06770,DB00184,1
DB00191,DB06262,1
DB01576,DB00315,1
DB06119,DB00553,1
DB14649,DB05294,1
DB09111,DB09223,1
DB14580,DB06371,1
DB09282,DB00966,1
DB01224,DB01251,1
DB09118,DB12184,1
DB01075,DB04866,1
DB06480,DB00209,1
DB00013,DB05266,1
DB01099,DB06543,1
DB00722,DB00900,1
DB00254,DB00367,1
DB06153,DB14881,1
DB11988,DB14762,1
DB13179,DB00295,1
DB12338,DB13541,1
DB00723,DB01240,1
DB04839,DB01058,1
DB14231,DB00270,1
DB15349,DB12261,1
DB09317,DB08882,1
DB13139,DB00900,1
DB13754,DB01231,1
DB00673,DB05351,1
DB09260,DB13977,1
DB12163,DB01151,1
DB00812,DB00827,1
DB14207,DB15300,1
DB15001,DB14042,1
DB11598,DB01139,1
DB13955,DB00950,1
DB06190,DB09218,1
DB12766,DB00286,1
DB11098,DB04871,1
DB01544,DB01138,1
DB00908,DB15478,1
DB00578,DB00567,1
DB00416,DB00747,1
DB01076,DB00783,1
DB09231,DB09235,1
DB08997,DB09117,1
DB06690,DB09241,1
DB13520,DB00771,1
DB01555,DB09484,1
DB13114,DB13956,1
DB00656,DB09026,1
DB09407,DB04812,1
DB12930,DB12935,1
DB01189,DB13396,1
DB01116,DB00656,1
DB00660,DB00254,1
DB09401,DB09325,1
DB00263,DB00682,1
DB09071,DB01621,1
DB09085,DB13219,1
DB01628,DB01438,1
DB12161,DB09204,1
DB06707,DB01089,1
DB13411,DB06711,1
DB00500,DB00995,1
DB00181,DB13876,1
DB04574,DB08976,1
DB09480,DB11477,1
DB14646,DB00717,1
DB09282,DB12093,1
DB00339,DB08897,1
DB04841,DB00047,1
DB10769,DB09122,1
DB13070,DB08996,1
DB13133,DB06209,1
DB00191,DB12867,1
DB11723,DB00519,1
DB12010,DB14125,1
DB00937,DB13351,1
DB09123,DB06695,1
DB01445,DB00477,1
DB00882,DB00175,1
DB00365,DB01151,1
DB04599,DB01323,1
DB12391,DB00346,1
DB09084,DB01064,1
DB06663,DB06217,1
DB06292,DB01628,1
DB14881,DB15478,1
DB00489,DB13575,1
DB06756,DB09204,1
DB13527,DB00454,1
DB00993,DB00562,1
DB00563,DB14840,1
DB06273,DB04840,1
DB06288,DB09229,1
DB00427,DB00740,1
DB14499,DB13166,1
DB00742,DB00515,1
DB09301,DB00909,1
DB01053,DB00175,1
DB09143,DB09227,1
DB14545,DB14539,1
DB00876,DB00268,1
DB13687,DB00405,1
DB14545,DB11397,1
DB05562,DB00752,1
DB00727,DB00788,1
DB01176,DB09021,1
DB12445,DB00733,1
DB11328,DB00841,1
DB12266,DB06595,1
DB11783,DB06762,1
DB01001,DB11591,1
DB13886,DB06273,1
DB01285,DB01397,1
DB01093,DB00808,1
DB00458,DB00199,1
DB12576,DB08329,1
DB00837,DB01142,1
DB13649,DB04905,1
DB01555,DB11540,1
DB14811,DB14041,1
DB01589,DB01246,1
DB00745,DB08867,1
DB00841,DB01247,1
DB03619,DB09260,1
DB01175,DB00213,1
DB09299,DB09089,1
DB01036,DB13598,1
DB11113,DB01144,1
DB00876,DB00696,1
DB08908,DB11988,1
DB00178,DB13524,1
DB01610,DB13944,1
DB00622,DB01405,1
DB00470,DB06711,1
DB09149,DB11518,1
DB15328,DB12825,1
DB12693,DB00705,1
DB01356,DB12286,1
DB09247,DB01068,1
DB01338,DB05710,1
DB11850,DB14967,1
DB12235,DB12363,1
DB13446,DB00343,1
DB01054,DB00107,1
DB00150,DB00998,1
DB00349,DB06737,1
DB01558,DB01559,1
DB04836,DB00408,1
DB01535,DB12585,1
DB00604,DB08811,1
DB09395,DB13955,1
DB09001,DB08808,1
DB06679,DB04812,1
DB01558,DB01339,1
DB11003,DB01033,1
DB11697,DB15149,1
DB00958,DB13314,1
DB01354,DB13636,1
DB08907,DB00763,1
DB13219,DB05562,1
DB04846,DB12057,1
DB01285,DB04892,1
DB06204,DB06144,1
DB00799,DB11757,1
DB00427,DB00734,1
DB06706,DB00784,1
DB03783,DB00690,1
DB06700,DB16691,1
DB12089,DB00860,1
DB12489,DB11674,1
DB09030,DB12941,1
DB04552,DB09368,1
DB16165,DB01424,1
DB08826,DB01151,1
DB03585,DB01348,1
DB13917,DB00872,1
DB00916,DB11830,1
DB01529,DB04953,1
DB06711,DB00651,1
DB01435,DB09418,1
DB00574,DB13634,1
DB00957,DB11951,1
DB09174,DB13295,1
DB00580,DB06594,1
DB06594,DB00320,1
DB06294,DB01171,1
DB00539,DB00719,1
DB00397,DB00599,1
DB04626,DB00945,1
DB13837,DB13875,1
DB08976,DB09261,1
DB00278,DB00398,1
DB09555,DB11130,1
DB00803,DB01093,1
DB00195,DB01412,1
DB06176,DB16236,1
DB13791,DB12877,1
DB00866,DB00212,1
DB14655,DB13136,1
DB01211,DB03701,1
DB11621,DB16732,1
DB01297,DB00312,1
DB12487,DB12718,1
DB13338,DB06479,1
DB13850,DB13875,1
DB11889,DB00296,1
DB04630,DB13633,1
DB00875,DB14010,1
DB01067,DB00014,1
DB00557,DB13508,1
DB01388,DB13863,1
DB12951,DB01615,1
DB00674,DB00719,1
DB01008,DB09259,1
DB08872,DB09307,1
DB00228,DB09241,1
DB00822,DB00827,1
DB00461,DB11153,1
DB12245,DB01544,1
DB12278,DB00232,1
DB13139,DB13254,1
DB13443,DB13108,1
DB00461,DB00399,1
DB04845,DB00637,1
DB00231,DB01233,1
DB14217,DB14125,1
DB13961,DB00788,1
DB00468,DB00338,1
DB10600,DB03523,1
DB04581,DB00275,1
DB09117,DB13841,1
DB12532,DB09074,1
DB09076,DB00397,1
DB13954,DB12023,1
DB13691,DB01401,1
DB00476,DB01337,1
DB00862,DB00289,1
DB00939,DB00498,1
DB05708,DB01203,1
DB08906,DB01229,1
DB08897,DB01600,1
DB05829,DB13401,1
DB00727,DB00806,1
DB11785,DB09203,1
DB13829,DB00451,1
DB12086,DB05386,1
DB00495,DB05374,1
DB11943,DB00598,1
DB15810,DB16694,1
DB11466,DB00563,1
DB01019,DB00866,1
DB05077,DB01062,1
DB00679,DB01226,1
DB13402,DB09023,1
DB01015,DB14545,1
DB01184,DB00193,1
DB00875,DB13451,1
DB12131,DB01171,1
DB00347,DB00505,1
DB00880,DB06228,1
DB00245,DB00567,1
DB00479,DB00821,1
DB14018,DB01059,1
DB01395,DB00270,1
DB00924,DB01497,1
DB00034,DB01611,1
DB01028,DB00318,1
DB05084,DB09564,1
DB01001,DB00675,1
DB10600,DB00073,1
DB12161,DB04951,1
DB09285,DB02709,1
DB00252,DB09307,1
DB02703,DB09085,1
DB01367,DB01420,1
DB00187,DB01400,1
DB07402,DB00816,1
DB01212,DB09163,1
DB00401,DB09101,1
DB00977,DB00199,1
DB00863,DB00585,1
DB13803,DB09016,1
DB14126,DB14527,1
DB00703,DB06282,1
DB06204,DB01227,1
DB00788,DB00396,1
